branch_id,branch_name,city,country,region_code,created_at,created_by
BR0001,Bengaluru Plaza,Bengaluru,IN,APAC,2015-04-22 00:00:00,BRANCH_REGISTRY_SVC
BR0002,Mumbai Central,Mumbai,IN,APAC,2015-10-24 00:00:00,BRANCH_REGISTRY_SVC
BR0003,San Francisco North,San Francisco,US,AMER,2018-01-09 00:00:00,BRANCH_REGISTRY_SVC
BR0004,Chicago Marina,Chicago,US,AMER,2019-04-21 00:00:00,BRANCH_REGISTRY_SVC
BR0005,Shanghai Fort,Shanghai,CN,APAC,2017-08-01 00:00:00,BRANCH_REGISTRY_SVC
BR0006,Beijing Fort,Beijing,CN,APAC,2019-11-04 00:00:00,BRANCH_REGISTRY_SVC
BR0007,Dubai Plaza,Dubai,AE,MEA,2017-04-17 00:00:00,BRANCH_REGISTRY_SVC
BR0008,Dubai Plaza,Dubai,AE,MEA,2015-09-21 00:00:00,BRANCH_REGISTRY_SVC
BR0009,Dubai North,Dubai,AE,MEA,2015-04-05 00:00:00,BRANCH_REGISTRY_SVC
BR0010,London Central,London,GB,EMEA,2017-02-04 00:00:00,BRANCH_REGISTRY_SVC
BR0011,Manchester Plaza,Manchester,GB,EMEA,2018-09-12 00:00:00,BRANCH_REGISTRY_SVC
BR0012,London Central,London,GB,EMEA,2017-08-20 00:00:00,BRANCH_REGISTRY_SVC
BR0013,Manchester Central,Manchester,GB,EMEA,2019-07-12 00:00:00,BRANCH_REGISTRY_SVC
BR0014,Singapore Downtown,Singapore,SG,APAC,2016-10-10 00:00:00,BRANCH_REGISTRY_SVC
BR0015,Singapore Downtown,Singapore,SG,APAC,2018-03-08 00:00:00,BRANCH_REGISTRY_SVC
BR0016,Frankfurt Central,Frankfurt,DE,EMEA,2019-11-02 00:00:00,BRANCH_REGISTRY_SVC
BR0017,Berlin Downtown,Berlin,DE,EMEA,2019-03-29 00:00:00,BRANCH_REGISTRY_SVC
BR0018,Frankfurt Marina,Frankfurt,DE,EMEA,2019-06-24 00:00:00,BRANCH_REGISTRY_SVC
BR0019,Berlin North,Berlin,DE,EMEA,2018-06-26 00:00:00,BRANCH_REGISTRY_SVC
BR0020,Toronto Marina,Toronto,CA,AMER,2015-09-02 00:00:00,BRANCH_REGISTRY_SVC
BR0021,Toronto Downtown,Toronto,CA,AMER,2018-10-10 00:00:00,BRANCH_REGISTRY_SVC
BR0022,Vancouver North,Vancouver,CA,AMER,2019-02-01 00:00:00,BRANCH_REGISTRY_SVC
BR0023,Vancouver Plaza,Vancouver,CA,AMER,2018-10-05 00:00:00,BRANCH_REGISTRY_SVC
BR0024,Lagos Plaza,Lagos,NG,MEA,2019-07-24 00:00:00,BRANCH_REGISTRY_SVC
BR0025,Abuja Fort,Abuja,NG,MEA,2019-05-17 00:00:00,BRANCH_REGISTRY_SVC
BR0026,Abuja Central,Abuja,NG,MEA,2016-08-27 00:00:00,BRANCH_REGISTRY_SVC
BR0027,St Petersburg Downtown,St Petersburg,RU,EMEA,2015-06-12 00:00:00,BRANCH_REGISTRY_SVC
BR0028,Moscow Marina,Moscow,RU,EMEA,2017-10-21 00:00:00,BRANCH_REGISTRY_SVC
BR0029,Melbourne Plaza,Melbourne,AU,APAC,2019-04-21 00:00:00,BRANCH_REGISTRY_SVC
BR0030,Melbourne Marina,Melbourne,AU,APAC,2019-07-05 00:00:00,BRANCH_REGISTRY_SVC
BR0011,Manchester Plaza,Manchester,GB,EMEA,2018-09-12 00:00:00,BRANCH_REGISTRY_SVC
BR0026,Abuja Central,Abuja,NG,MEA,2016-08-27 00:00:00,BRANCH_REGISTRY_SVC
